ESTACIONES;LONEST;LATEST;ELEEST;ENERO;FEBRERO;MARZO;ABRIL;MAYO;JUNIO;JULIO;AGOSTO;SEPTIEMBRE;OCTUBRE;NOVIEMBRE;DICIEMBRE
SANTAMARIADENANAY;-73.696;-3.890;120;628.5;217.6;229.1;287.3;414.5;295.5;60.5;252.8;195.4;350.9;271.1;352.7
DOSDEMAYO;-76.407;-7.407;307;204.4;128.5;165.3;108.9;111.5;141.6;67.7;52.1;119.4;106.4;170.7;
SORITOR;-77.084;-6.135;890;209.7;229.2;305.7;;173.8;206;28.2;120;155.2;190;190;
JEPELACIO;-76.915;-6.101;1192;164.4;225.7;174.8;66.3;150.4;132.2;19.6;100.2;123;84.4;70.6;
SANPABLO;-76.576;-6.813;274;94.3;207.9;182.9;60;230.5;29.6;51.2;83;153.9;98.1;147.7;
CUNUMBUQUE;-76.508;-6.508;400;159.1;139.5;141;94.3;129;75.9;27.4;67.2;110.2;37.2;127.1;
NUEVOLIMA;-76.474;-7.118;200;132.8;149.1;97.6;68.5;75.3;27.9;35.4;77.7;127.5;84.3;183.5;
PICOTA;-76.339;-6.949;200;126.7;137.1;63;64.3;54.4;70.1;67;52.1;84.5;58.2;111.5;
SANANTONIO;-76.424;-6.424;578;241.4;133;307.9;175.3;218.6;81.8;59.6;119.3;150.8;109.8;233.5;
SHANUSI;-76.254;-6.068;147;393.6;293.4;296.2;320.4;308.9;145.3;54.1;112.9;130.1;269.6;555.9;
PILLUANA;-76.281;-6.779;200;165.7;116.5;201.4;106.8;103.6;33.6;47.1;64.6;87.6;57;79.5;
CHAZUTA;-76.098;-6.569;170;349.2;230.4;186.6;149.7;117.5;61.8;27.6;104.3;126.1;102.4;194.9;
PUCALLPA;-75.847;-6.458;160;367.9;544.9;266.3;324;275.5;158.8;25.2;150.8;187.2;246.2;482.5;
PELEJO;-75.790;-6.216;145;315.4;234.6;222.7;239;176.8;178;61.8;87.6;218.1;80.5;283.6;
HUANUCO;-76.237;-9.966;2090;72.1;70.9;74;23.7;12.3;4;4.8;5.1;15.9;32.3;49.4;118.7
RECUAY;-77.454;-9.729;3444;117.5;191.2;292.8;177.9;;4.4;0;3.9;33.1;82.7;47.5;116.7
POMABAMBA;-77.467;-8.784;3605;141.3;183.8;221.5;126.1;;40.4;5;18.5;35.6;71.9;76.1;218.8
CHAVIN;-77.176;-9.586;3137;132.3;88.2;156.9;98.8;;10.4;0.9;8;16.1;54.7;65.1;55.8
JACASCHICO;-76.500;-9.884;3673;241.3;162.4;215;106.5;65.8;13.8;12.9;22.8;31.6;50.3;95.5;149.2
CANCHAN;-76.288;-9.949;2550;66.2;74.6;77.5;22.8;17.6;0;3.9;5;10.7;25.7;54.1;135.3
YANAHUANCA;-76.508;-10.491;3190;232.4;128.8;275.1;114;70.9;16.5;0;20.2;119.2;74.8;110.9;141
SANTAANA;-75.221;-12.004;3302;160.5;143.4;109.4;90.9;14.2;0.2;0;3.8;55.8;68.7;75.7;236.8
JAUJA;-75.479;-11.783;3360;120.3;140.1;113.1;57.4;26;0.4;0;16.7;28.1;43.6;125.3;86.5
PAMPAS;-74.866;-12.393;3240;138.5;107;109.1;42.3;27.5;0;5.1;16.3;39.9;40.3;47.2;60.7
CHIQUIAN;-77.150;-10.150;3382;142.1;132.5;280.4;43.9;;0;0;0;18.2;35.7;0;58
CAJATAMBO;-76.984;-10.467;4040;191.5;218.5;295.3;77.8;41.5;1.6;0;0.1;5.3;45.6;14.2;41.5
